fasta_file,method,rms_error,corr_coef,time_taken_sec,query_file,height,width,number_of_round
input/lhg22L20MC5x.fa,cm,25.943468718627237,0.7217882359241325,27,input/test_exact_count_lhg22L20MC5x_20000.txt,7,1048576,None
input/lhg22L20MC5x.fa,ocm,14.563449406116003,0.7405669933897289,445,input/test_exact_count_lhg22L20MC5x_20000.txt,7,1048576,4
input/lhg22L20MC5x.fa,cm2,19.181045981858713,0.7460603859927465,27,input/test_exact_count_lhg22L20MC5x_20000.txt,7,1310720,None
input/lhg22L20MC5x.fa,ccm,8.737287148431982,0.7579151832382,32,input/test_exact_count_lhg22L20MC5x_20000.txt,7,1048576,None
input/lhg22L20MC5x.fa,occm,8.708737131350729,0.7578454395418199,397,input/test_exact_count_lhg22L20MC5x_20000.txt,7,1048576,4
input/lhg22L20MC5x.fa,ccm2,6.043704264152018,0.7980849575033607,32,input/test_exact_count_lhg22L20MC5x_20000.txt,7,1310720,None
input/lhg22L20MC10x.fa,cm,29.083246153038996,0.7213255068389548,29,input/test_exact_count_lhg22L20MC10x_20000.txt,7,1048576,None
input/lhg22L20MC10x.fa,ocm,17.55572605883348,0.7403805407403944,429,input/test_exact_count_lhg22L20MC10x_20000.txt,7,1048576,4
input/lhg22L20MC10x.fa,cm2,21.975946767443236,0.7504903009606261,21,input/test_exact_count_lhg22L20MC10x_20000.txt,7,1310720,None
input/lhg22L20MC10x.fa,ccm,11.524377339351297,0.7619188820688575,26,input/test_exact_count_lhg22L20MC10x_20000.txt,7,1048576,None
input/lhg22L20MC10x.fa,occm,11.502526970816234,0.7618642301497519,252,input/test_exact_count_lhg22L20MC10x_20000.txt,7,1048576,4
input/lhg22L20MC10x.fa,ccm2,9.260127410691414,0.8095947409548073,26,input/test_exact_count_lhg22L20MC10x_20000.txt,7,1310720,None
input/lhg22L20MC20x.fa,cm,33.3671389234095,0.7426761406685792,24,input/test_exact_count_lhg22L20MC20x_20000.txt,7,1048576,None
input/lhg22L20MC20x.fa,ocm,21.57625251070138,0.7698219631569705,325,input/test_exact_count_lhg22L20MC20x_20000.txt,7,1048576,4
input/lhg22L20MC20x.fa,cm2,25.195753089557247,0.7766092084153108,24,input/test_exact_count_lhg22L20MC20x_20000.txt,7,1310720,None
input/lhg22L20MC20x.fa,ccm,13.569651735296203,0.8045482334236581,30,input/test_exact_count_lhg22L20MC20x_20000.txt,7,1048576,None
input/lhg22L20MC20x.fa,occm,13.544366522604333,0.8045576409970407,291,input/test_exact_count_lhg22L20MC20x_20000.txt,7,1048576,4
input/lhg22L20MC20x.fa,ccm2,11.163209597845345,0.8565453193141257,30,input/test_exact_count_lhg22L20MC20x_20000.txt,7,1310720,None
input/lhg22L20MC30x.fa,cm,38.49771273232211,0.7684288318549674,27,input/test_exact_count_lhg22L20MC30x_20000.txt,7,1048576,None
input/lhg22L20MC30x.fa,ocm,27.247728391490224,0.7941165462779234,381,input/test_exact_count_lhg22L20MC30x_20000.txt,7,1048576,4
input/lhg22L20MC30x.fa,cm2,29.728486361773733,0.8065485436419866,41,input/test_exact_count_lhg22L20MC30x_20000.txt,7,1310720,None
input/lhg22L20MC30x.fa,ccm,18.127400241880714,0.8478036371930456,49,input/test_exact_count_lhg22L20MC30x_20000.txt,7,1048576,None
input/lhg22L20MC30x.fa,occm,18.10754928983276,0.8479971484401343,457,input/test_exact_count_lhg22L20MC30x_20000.txt,7,1048576,4
input/lhg22L20MC30x.fa,ccm2,16.085004029852694,0.8999971053339632,35,input/test_exact_count_lhg22L20MC30x_20000.txt,7,1310720,None
input/lhg22L20MC50x.fa,cm,44.23705266818986,0.8151866776109552,38,input/test_exact_count_lhg22L20MC50x_20000.txt,7,1048576,None
input/lhg22L20MC50x.fa,ocm,33.058186566559414,0.8373673866522244,695,input/test_exact_count_lhg22L20MC50x_20000.txt,7,1048576,4
input/lhg22L20MC50x.fa,cm2,33.478312111591336,0.8570335954697543,45,input/test_exact_count_lhg22L20MC50x_20000.txt,7,1310720,None
input/lhg22L20MC50x.fa,ccm,19.126840390995618,0.9129351235267769,50,input/test_exact_count_lhg22L20MC50x_20000.txt,7,1048576,None
input/lhg22L20MC50x.fa,occm,19.10830809084722,0.9130983339562598,500,input/test_exact_count_lhg22L20MC50x_20000.txt,7,1048576,4
input/lhg22L20MC50x.fa,ccm2,16.78621878371135,0.9435230279992264,54,input/test_exact_count_lhg22L20MC50x_20000.txt,7,1310720,None
